id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MOZ,6.1,2.2,0.14,3.0
MOZ,5.7,2.3,0.13,7.5
MOZ,8.4,2.4,0.12,7.6
MOZ,8.1,2.4,0.17,9.4
MOZ,10.69,2.4,0.16,10.9
MOZ,11.85,2.5,0.14,11.3
MOZ,13.03,2.6,0.13,11.6
MOZ,12.4,2.7,0.14,17.1
MOZ,13.57,2.8,0.15,17.9
MOZ,15.0,2.9,0.15,17.7
MOZ,18.9,3.1,0.16,19.8
MOZ,20.2,3.2,0.19,19.1
MOZ,21.21,3.4,0.2,18.8
MOZ,22.41,3.6,0.24,18.5
MOZ,24.8,3.7,0.5,17.9
MOZ,24.0,4.0,0.37,17.2
MOZ,26.22,4.2,0.45,15.6
MOZ,24.3,4.4,0.39,15.1
MOZ,31.1,4.7,0.41,15.3
MOZ,29.69,4.9,0.37,15.0
MOZ,30.61,5.2,0.34,15.4
MOZ,31.49,5.4,0.38,
MOZ,,,0.42,
MOZ,,,,
MOZ,,,,
