id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ZAF,72.4,56.3,1.83,3.4
ZAF,70.2,58.3,1.79,3.2
ZAF,76.7,60.4,1.63,3.4
ZAF,78.8,62.5,1.76,2.7
ZAF,80.6,64.7,1.86,2.4
ZAF,80.8,66.9,1.72,2.6
ZAF,80.7,69.1,1.79,2.7
ZAF,82.0,71.2,1.79,2.3
ZAF,81.9,73.3,1.95,2.3
ZAF,82.6,75.2,1.96,2.2
ZAF,82.8,77.0,1.81,2.2
ZAF,83.6,78.7,1.81,2.3
ZAF,85.2,80.1,1.8,2.2
ZAF,85.2,81.4,1.82,2.4
ZAF,85.9,82.6,1.89,2.4
ZAF,85.3,83.8,1.83,2.4
ZAF,83.9,84.7,1.84,2.7
ZAF,84.4,85.6,1.76,3.0
ZAF,84.7,86.3,1.75,3.5
ZAF,85.0,87.1,1.89,3.7
ZAF,90.0,87.7,1.85,3.9
ZAF,89.3,88.4,1.79,
ZAF,,,1.76,
ZAF,,,,
ZAF,,,,
