id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ETH,12.7,0.9,2.04,1.3
ETH,10.22,0.9,2.09,1.3
ETH,11.88,1.0,2.14,1.4
ETH,13.53,1.0,2.1,1.4
ETH,15.19,1.1,2.01,1.4
ETH,14.0,1.2,1.72,1.5
ETH,18.56,1.4,1.61,1.6
ETH,20.27,1.6,1.7,1.6
ETH,22.0,1.8,1.92,1.5
ETH,23.74,2.0,1.78,1.5
ETH,25.5,2.3,1.27,1.8
ETH,23.0,2.7,1.17,1.9
ETH,29.02,3.0,1.07,2.1
ETH,30.78,3.4,1.13,2.2
ETH,27.2,3.9,1.27,2.3
ETH,29.0,4.2,1.22,2.5
ETH,42.9,4.7,1.16,2.6
ETH,44.3,5.2,1.19,2.7
ETH,44.84,5.7,1.1,3.0
ETH,48.05,6.2,1.11,2.9
ETH,51.15,6.8,1.13,3.0
ETH,54.19,7.5,1.22,
ETH,,,1.24,
ETH,,,,
ETH,,,,
