id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TGO,16.96,0.4,7.61,11.0
TGO,19.59,0.5,9.27,11.3
TGO,21.31,0.6,8.7,11.4
TGO,23.03,0.8,10.08,11.3
TGO,24.76,1.0,9.28,10.9
TGO,26.5,1.3,9.06,11.0
TGO,27.9,1.5,6.65,11.5
TGO,30.04,1.9,7.78,12.4
TGO,31.84,2.4,11.97,12.0
TGO,33.65,2.8,18.03,10.2
TGO,30.79,3.4,11.44,10.2
TGO,39.7,3.9,11.17,11.8
TGO,39.13,4.6,6.86,12.6
TGO,40.95,5.2,5.07,11.2
TGO,45.7,5.9,4.37,13.6
TGO,44.75,6.6,4.23,10.9
TGO,46.78,7.3,2.45,12.2
TGO,48.0,8.1,2.48,11.3
TGO,50.0,8.8,3.68,11.6
TGO,52.46,9.8,3.36,11.9
TGO,54.13,10.5,3.41,11.3
TGO,55.74,11.4,3.02,
TGO,,,2.9,
TGO,,,,
TGO,,,,
