id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CYP,100.0,100.0,2.11,3.1
CYP,100.0,100.0,1.97,3.0
CYP,100.0,100.0,1.89,3.2
CYP,100.0,100.0,1.87,3.2
CYP,100.0,100.0,1.85,3.3
CYP,100.0,100.0,1.82,3.3
CYP,100.0,100.0,1.76,3.5
CYP,100.0,100.0,1.75,4.3
CYP,100.0,100.0,1.72,5.5
CYP,100.0,100.0,1.62,6.3
CYP,100.0,100.0,1.52,6.5
CYP,100.0,100.0,1.58,7.6
CYP,100.0,100.0,1.54,8.6
CYP,100.0,100.0,1.53,9.7
CYP,100.0,100.0,1.6,9.5
CYP,100.0,100.0,1.54,10.4
CYP,100.0,100.0,1.51,10.3
CYP,100.0,100.0,1.5,10.9
CYP,100.0,100.0,1.45,12.0
CYP,100.0,100.0,1.43,12.0
CYP,100.0,100.0,1.43,15.0
CYP,100.0,100.0,1.37,13.621428571428572
CYP,99.99999999999996,99.99999999999996,1.34,14.205194805194806
CYP,99.99999999999997,99.99999999999997,1.289802371541502,14.78896103896104
CYP,99.99999999999999,99.99999999999999,1.260691699604743,15.372727272727275
