id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NER,6.48,0.9,3.34,0.0
NER,8.35,0.9,3.59,0.0
NER,8.81,1.0,3.59,0.0
NER,9.28,1.0,3.83,0.0
NER,9.74,1.0,3.86,0.0
NER,7.1,1.0,3.02,0.0
NER,9.3,1.1,3.08,0.0
NER,11.24,1.1,3.17,0.0
NER,11.77,1.2,3.47,0.0
NER,12.32,1.2,3.71,0.0
NER,13.62,1.3,3.96,0.0
NER,14.3,1.4,3.85,0.0
NER,14.4,1.5,4.62,0.0
NER,15.15,1.6,4.69,0.0
NER,15.73,1.7,5.03,0.0
NER,16.6,1.9,4.1,0.0
NER,16.97,2.0,3.06,0.7
NER,17.58,2.2,3.97,1.9
NER,17.6,2.3,3.17,1.9
NER,18.46,2.5,3.93,1.8
NER,18.72,2.8,4.29,1.8
NER,18.6,3.0,4.08,
NER,,,3.89,
NER,,,,
NER,,,,
