id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PRK,,1.8,3.58,8.1
PRK,,2.0,3.57,8.0
PRK,,2.3,3.49,8.4
PRK,,2.6,3.36,8.6
PRK,,2.9,3.28,8.7
PRK,,3.3,3.29,8.6
PRK,,3.7,3.41,8.4
PRK,,4.2,2.97,10.2
PRK,,4.7,3.05,9.5
PRK,26.0,5.1,2.29,11.6
PRK,29.3,5.7,2.13,12.7
PRK,31.43,6.2,1.73,17.0
PRK,33.57,6.8,1.76,16.6
PRK,35.7,7.4,1.23,22.4
PRK,37.83,7.9,1.42,19.8
PRK,39.95,8.6,1.3,21.5
PRK,42.07,9.2,1.16,21.6
PRK,44.19,9.9,2.21,11.1
PRK,46.3,10.4,1.92,12.2
PRK,48.41,11.1,2.21,10.4
PRK,50.52,11.8,2.07,11.8
PRK,52.63,12.5,2.01,11.252784111649898
PRK,54.96192307692305,12.358441558441548,2.28,11.200581495925135
PRK,57.122417582417555,12.879333709768481,1.3175889328063242,11.148378880200372
PRK,59.28291208791206,13.400225861095416,1.2255039525691698,11.09617626447561
