id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AND,100.0,100.0,,14.5
AND,100.0,100.0,,15.4
AND,100.0,100.0,,15.8
AND,100.0,100.0,,16.5
AND,100.0,100.0,,16.6
AND,100.0,100.0,,16.6
AND,100.0,100.0,,17.6
AND,100.0,100.0,,16.6
AND,100.0,100.0,,17.0
AND,100.0,100.0,,17.1
AND,100.0,100.0,,18.7
AND,100.0,100.0,,18.6
AND,100.0,100.0,,18.8
AND,100.0,100.0,,19.1
AND,100.0,100.0,,19.5
AND,100.0,100.0,,19.3
AND,100.0,100.0,,19.3
AND,100.0,100.0,,19.0
AND,100.0,100.0,,18.6
AND,100.0,100.0,,18.5
AND,100.0,100.0,,21.9
AND,100.0,100.0,,20.6
AND,,,,
AND,,,,
AND,,,,
