id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
COM,39.79,0.5,3.31,4.7
COM,42.03,0.6,3.22,4.7
COM,44.8,0.8,2.95,4.8
COM,46.48,1.0,3.48,4.4
COM,48.71,1.1,3.0,4.3
COM,50.96,1.4,2.72,4.5
COM,53.22,1.6,2.99,4.2
COM,55.51,1.9,2.05,5.0
COM,57.81,2.3,2.29,5.0
COM,60.12,2.7,2.64,4.6
COM,69.66,3.2,2.35,4.7
COM,69.33,3.7,2.29,4.9
COM,69.3,4.3,2.51,4.8
COM,69.44,4.9,3.15,4.4
COM,71.76,5.6,2.96,4.7
COM,74.08,6.3,3.27,4.3
COM,76.4,7.0,3.58,4.1
COM,78.71,7.9,2.93,3.8
COM,81.02,8.7,2.97,3.7
COM,83.33,9.6,2.86,3.6
COM,85.64,10.5,2.93,3.3
COM,87.94,11.3,3.15,2.7
COM,90.31160516661598,10.35584415584415,3.05,3.588311688311685
COM,92.65896142676502,10.873348390739688,2.9377865612648226,3.5240542066628993
COM,95.00631768691406,11.390852625635226,2.9411166007905143,3.459796725014113
