id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NAM,36.5,34.1,1.12,16.2
NAM,35.99,34.5,1.66,14.6
NAM,36.88,35.3,1.25,16.7
NAM,37.78,35.9,1.31,16.9
NAM,38.67,36.7,1.42,19.6
NAM,39.58,37.3,1.37,20.0
NAM,40.51,37.9,1.44,20.7
NAM,43.7,38.8,1.43,21.7
NAM,42.43,39.4,1.71,18.7
NAM,44.1,39.95,1.85,18.4
NAM,44.4,40.8,2.16,18.6
NAM,42.3,41.3,1.93,19.9
NAM,46.4,42.1,2.01,21.1
NAM,47.4,42.8,1.9,20.7
NAM,48.38,43.4,2.41,20.5
NAM,51.6,44.1,2.44,19.9
NAM,49.7,44.6,2.74,19.9
NAM,52.5,45.4,2.38,20.8
NAM,52.32,45.9,2.93,21.5
NAM,53.28,46.5,2.97,20.7
NAM,52.3,46.9,1.84,21.0
NAM,55.23,47.3,2.48,21.18025611635919
NAM,55.23349573737647,48.47532467532465,2.93,21.294120590549294
NAM,55.94695429207987,49.12950310559003,2.8863241106719375,21.407985064739393
NAM,56.66041284678325,49.78368153585542,2.9613438735177873,21.5218495389295
