id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MLT,100.0,100.0,1.29,0.0
MLT,100.0,100.0,1.41,0.0
MLT,100.0,100.0,1.34,0.1
MLT,100.0,100.0,1.32,0.1
MLT,100.0,100.0,1.29,0.1
MLT,100.0,100.0,1.19,0.1
MLT,100.0,100.0,1.18,0.2
MLT,100.0,100.0,1.19,0.2
MLT,100.0,100.0,1.16,0.2
MLT,100.0,100.0,1.17,0.3
MLT,100.0,100.0,1.23,1.2
MLT,100.0,100.0,1.19,2.0
MLT,100.0,100.0,1.18,2.7
MLT,100.0,100.0,1.06,3.2
MLT,100.0,100.0,1.05,4.5
MLT,100.0,100.0,1.28,6.0
MLT,100.0,100.0,1.58,9.2
MLT,100.0,100.0,0.95,7.3
MLT,100.0,100.0,0.81,7.6
MLT,100.0,100.0,0.82,7.4
MLT,100.0,100.0,0.77,9.2
MLT,100.0,100.0,0.74,9.443811007063388
MLT,99.99999999999996,99.99999999999996,0.74,10.118002527769784
MLT,99.99999999999997,99.99999999999997,0.8323320158102768,10.79219404847618
MLT,99.99999999999999,99.99999999999999,0.8077075098814229,11.466385569182577
