id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LBR,,0.6,1.99,0.0
LBR,,0.5,2.09,0.0
LBR,,0.5,2.16,0.0
LBR,,0.5,2.32,0.0
LBR,,0.4,2.73,0.0
LBR,,0.4,3.25,0.0
LBR,,0.4,3.36,0.0
LBR,3.0,0.4,2.5,0.0
LBR,1.28,0.4,2.12,0.0
LBR,1.9,0.4,1.88,0.0
LBR,5.26,0.4,3.03,0.1
LBR,4.1,0.3,2.83,0.1
LBR,9.25,0.4,3.21,0.1
LBR,9.8,0.3,2.91,0.1
LBR,9.4,0.4,2.74,0.1
LBR,15.23,0.3,1.51,0.1
LBR,17.7,0.4,1.65,0.1
LBR,24.2,0.4,2.51,0.4
LBR,22.77,0.4,1.5,0.4
LBR,23.1,0.4,3.47,0.4
LBR,27.56,0.4,0.9,0.4
LBR,29.85,0.4,1.11,0.6
LBR,31.755777238662567,0.3389610389610387,1.1,0.40259740259740234
LBR,34.05792496725249,0.3328627893845283,1.7865612648221347,0.4261434217955954
LBR,36.360072695842426,0.32676453980801784,1.7438833992094864,0.44968944099378855
