id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CMR,41.0,10.0,1.62,17.5
CMR,46.2,10.8,1.59,17.5
CMR,44.04,11.8,1.64,8.9
CMR,45.09,12.8,1.56,9.1
CMR,47.1,13.8,1.4,9.6
CMR,47.22,14.7,1.37,9.5
CMR,49.0,15.7,1.08,11.8
CMR,48.2,16.7,1.42,12.4
CMR,50.55,17.6,1.3,12.8
CMR,51.69,18.5,1.49,12.2
CMR,52.85,19.2,1.43,12.5
CMR,53.7,20.0,1.38,14.0
CMR,55.16,20.6,1.4,15.6
CMR,56.32,21.2,1.24,16.4
CMR,56.8,21.6,1.27,17.2
CMR,58.62,22.0,1.24,18.8
CMR,59.76,22.3,1.4,19.2
CMR,60.9,22.5,1.19,19.4
CMR,62.2,22.6,1.13,19.1
CMR,63.18,22.7,1.12,19.2
CMR,64.31,22.8,1.08,19.3
CMR,65.45,22.8,1.29,
CMR,,,1.18,
CMR,,,,
CMR,,,,
