id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ZWE,33.68,33.9,1.98,9.3
ZWE,34.17,33.5,1.58,8.8
ZWE,34.2,33.4,1.39,9.7
ZWE,35.14,33.0,1.21,11.6
ZWE,35.62,32.5,0.97,11.6
ZWE,36.12,32.0,1.14,11.0
ZWE,37.2,31.6,1.3,12.1
ZWE,37.18,31.2,1.29,11.5
ZWE,37.74,31.0,1.01,11.2
ZWE,43.37,30.6,1.13,11.0
ZWE,38.89,30.4,1.01,10.6
ZWE,36.9,30.3,1.13,9.8
ZWE,44.0,30.1,1.23,9.6
ZWE,40.64,30.1,1.22,9.4
ZWE,32.3,30.0,1.21,9.8
ZWE,33.7,30.0,1.28,9.4
ZWE,42.47,30.0,1.47,8.9
ZWE,43.98,29.8,1.23,9.7
ZWE,45.4,30.0,1.14,9.9
ZWE,46.68,30.2,1.15,9.5
ZWE,52.75,30.3,1.17,9.9
ZWE,48.98,30.3,0.99,
ZWE,,,0.99,
ZWE,,,,
ZWE,,,,
