id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MKD,99.02,56.2,1.25,19.4
MKD,99.03,57.6,1.3,15.2
MKD,99.03,58.8,1.29,14.6
MKD,99.03,59.6,1.27,17.3
MKD,99.42,60.9,1.24,18.2
MKD,99.05,62.4,1.24,19.0
MKD,99.0,63.6,1.24,19.8
MKD,99.15,64.8,1.39,15.7
MKD,99.2,65.8,1.42,15.6
MKD,99.2,66.8,1.21,18.4
MKD,99.5,67.9,1.13,22.3
MKD,99.73,69.0,1.31,18.6
MKD,99.62,70.0,1.36,18.3
MKD,99.72,71.2,1.23,21.2
MKD,99.82,72.3,1.34,21.2
MKD,99.9,73.3,1.2,23.9
MKD,99.97,74.5,1.19,21.4
MKD,99.99,75.6,1.28,19.0
MKD,99.8,76.2,1.19,20.9
MKD,100.0,77.2,1.32,17.0
MKD,100.0,78.3,1.32,20.3
MKD,100.0,79.2,1.43,19.377160244126166
MKD,100.0,80.8324675324675,1.39,19.51732579209673
MKD,100.0,81.92778091473741,1.3130434782608693,19.657491340067295
MKD,100.0,83.02309429700732,1.3154347826086954,19.797656888037857
