id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NGA,43.18,0.6,6.57,4.6
NGA,43.91,0.6,6.47,4.6
NGA,44.64,0.7,4.17,4.8
NGA,52.2,0.7,4.96,4.8
NGA,46.08,0.8,3.91,5.0
NGA,46.82,0.9,4.31,5.2
NGA,47.58,1.0,3.89,5.3
NGA,50.13,1.2,3.56,6.0
NGA,50.3,1.4,4.13,6.3
NGA,49.97,1.6,3.9,6.8
NGA,48.0,1.9,4.26,7.5
NGA,55.9,2.4,4.64,7.9
NGA,53.02,2.9,3.8,9.2
NGA,55.6,3.6,4.02,8.0
NGA,54.15,4.5,3.81,5.7
NGA,52.5,5.6,3.29,5.8
NGA,59.3,7.0,3.2,5.8
NGA,54.4,8.7,3.5,5.7
NGA,56.5,10.7,3.16,5.6
NGA,55.4,12.8,3.84,5.6
NGA,55.4,14.9,3.53,5.6
NGA,59.5,16.8,3.64,6.443000433704816
NGA,60.49196913809047,15.41663476829418,3.48,6.457783271667754
NGA,62.307422859675675,16.598154080332684,2.987944664031621,6.472566109630689
NGA,64.1228765812609,17.779673392371183,2.8962154150197623,6.4873489475936275
