id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SGP,100.0,100.0,1.53,0.3
SGP,100.0,100.0,1.49,0.6
SGP,100.0,100.0,1.36,0.6
SGP,100.0,100.0,1.4,0.6
SGP,100.0,100.0,1.27,0.5
SGP,100.0,100.0,1.09,0.5
SGP,100.0,100.0,1.07,0.5
SGP,100.0,100.0,0.75,0.5
SGP,100.0,100.0,1.12,0.5
SGP,100.0,100.0,1.08,0.5
SGP,100.0,100.0,0.93,0.5
SGP,100.0,100.0,0.74,0.5
SGP,100.0,100.0,1.08,0.5
SGP,100.0,100.0,1.15,0.6
SGP,100.0,100.0,1.06,0.6
SGP,100.0,100.0,1.23,0.6
SGP,100.0,100.0,0.78,0.7
SGP,100.0,100.0,0.76,0.7
SGP,100.0,100.0,0.94,0.8
SGP,100.0,100.0,0.62,0.9
SGP,100.0,100.0,1.03,0.9
SGP,100.0,100.0,0.99,0.7819047619047618
SGP,99.99999999999996,99.99999999999996,0.92,0.7993073593073592
SGP,99.99999999999997,99.99999999999997,0.7683794466403162,0.8167099567099566
SGP,99.99999999999999,99.99999999999999,0.7440415019762846,0.834112554112554
