id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SWE,100.0,100.0,0.39,39.8
SWE,100.0,100.0,0.36,37.4
SWE,100.0,100.0,0.4,35.8
SWE,100.0,100.0,0.44,34.6
SWE,100.0,100.0,0.38,35.5
SWE,100.0,100.0,0.35,39.3
SWE,100.0,100.0,0.38,40.1
SWE,100.0,100.0,0.36,41.8
SWE,100.0,100.0,0.35,43.2
SWE,100.0,100.0,0.35,45.7
SWE,100.0,100.0,0.36,44.7
SWE,100.0,100.0,0.33,45.4
SWE,100.0,100.0,0.29,48.3
SWE,100.0,100.0,0.3,47.3
SWE,100.0,100.0,0.29,48.6
SWE,100.0,100.0,0.27,51.9
SWE,100.0,100.0,0.28,50.9
SWE,100.0,100.0,0.26,51.8
SWE,100.0,100.0,0.26,51.6
SWE,100.0,100.0,0.25,52.9
SWE,100.0,100.0,0.23,58.4
SWE,100.0,100.0,0.23,59.22763121987772
SWE,99.99999999999996,99.99999999999996,0.22,61.54363562129536
SWE,99.99999999999997,99.99999999999997,0.2142292490118577,63.85964002271298
SWE,99.99999999999999,99.99999999999999,0.2055237154150197,66.17564442413062
