id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CAF,6.0,0.6,2.21,3.2
CAF,5.71,0.6,2.29,3.1
CAF,6.13,0.6,2.26,3.1
CAF,6.56,0.5,2.05,3.0
CAF,6.99,0.6,1.48,3.4
CAF,7.43,0.5,1.36,3.4
CAF,7.81,0.5,1.37,3.4
CAF,8.38,0.5,1.44,2.5
CAF,7.48,0.5,1.03,1.9
CAF,9.39,0.5,1.01,1.9
CAF,9.8,0.6,1.06,1.8
CAF,10.44,0.6,1.08,1.8
CAF,10.97,0.6,1.08,2.2
CAF,11.5,0.6,0.85,2.5
CAF,12.04,0.6,0.74,2.5
CAF,12.71,0.6,1.06,2.5
CAF,13.41,0.6,1.16,2.5
CAF,14.07,0.7,1.43,2.5
CAF,14.64,0.7,1.46,2.5
CAF,14.3,0.8,1.5,2.6
CAF,15.41,0.8,1.58,2.6
CAF,15.68,0.9,1.65,2.6
CAF,,,1.5,
CAF,,,,
CAF,,,,
