id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AUT,100.0,100.0,1.12,26.4
AUT,100.0,100.0,1.17,25.5
AUT,100.0,100.0,1.21,24.7
AUT,100.0,100.0,1.36,22.6
AUT,100.0,100.0,1.28,23.2
AUT,100.0,100.0,1.26,24.4
AUT,100.0,100.0,1.26,26.6
AUT,100.0,100.0,1.2,29.0
AUT,100.0,100.0,1.16,29.7
AUT,100.0,100.0,1.01,31.3
AUT,100.0,100.0,1.09,31.2
AUT,100.0,100.0,1.16,31.6
AUT,100.0,100.0,1.01,34.4
AUT,100.0,100.0,1.09,34.6
AUT,100.0,100.0,1.08,35.7
AUT,100.0,100.0,1.11,34.8
AUT,100.0,100.0,1.06,34.6
AUT,100.0,100.0,1.06,34.0
AUT,100.0,100.0,1.06,34.1
AUT,100.0,100.0,0.97,34.0
AUT,100.0,100.0,0.89,35.8
AUT,100.0,100.0,0.96,36.02046315854763
AUT,99.99999999999996,99.99999999999996,1.03,36.355128716880145
AUT,99.99999999999997,99.99999999999997,0.9547430830039523,36.68979427521266
AUT,99.99999999999999,99.99999999999999,0.9415513833992091,37.02445983354519
